"id","date_heure","lieu","montant","type","compte_credit_id","compte_debit_id","modele_detection_id"
"1","2021-10-12 14:41:50.207","New Eugenio","750.48","RETRAIT","169","405","5"
"2","2022-11-16 21:55:32.694","South Shandachester","635.52","RETRAIT","292","22","2"
"3","2022-07-05 23:21:46.559","Batzmouth","822.79","RETRAIT","210","143","2"
"4","2022-06-30 06:17:11.546","North Aliastad","27.59","PAIEMENT_CARTE_CREDIT","183","239","2"
"5","2023-02-09 10:28:03.291","Kristinshire","805.21","VIREMENT","185","183","2"
"6","2023-07-22 00:23:27.366","Deckowborough","503.29","AUTRE","417","469","1"
"7","2022-08-03 23:35:39.468","Cyndytown","943.92","TRANSFERT_INTERNE","95","487","1"
"8","2022-11-01 13:43:14.577","Port Tyson","869.36","RETRAIT","475","220","2"
"9","2021-07-04 15:30:05.44","West Julianneborough","67.29","PAIEMENT_CARTE_CREDIT","173","140","4"
"10","2022-11-08 08:49:08.545","South Von","868.59","PAIEMENT_CARTE_CREDIT","392","470","5"
"11","2020-01-22 01:28:48.822","South Jaeville","265.52","TRANSFERT_INTERNE","258","37","2"
"12","2021-04-18 20:12:12.076","Lashandrabury","94.16","VIREMENT","218","202","4"
"13","2021-10-26 17:43:48.907","Dantetown","198.19","AUTRE","459","193","5"
"14","2021-03-29 06:27:25.47","Lake Natoshamouth","341.54","VIREMENT","45","261","4"
"15","2021-04-23 07:01:18.9","Rustyside","174.89","TRANSFERT_INTERNE","230","335","1"
"16","2022-07-10 15:46:13.66","Vannessahaven","532.87","AUTRE","326","94","2"
"17","2022-08-13 00:05:28.513","Lake Keira","253.67","AUTRE","61","320","5"
"18","2023-01-08 23:15:04.587","Howeland","509.09","AUTRE","16","428","4"
"19","2022-03-28 10:16:12.327","North Vincent","951.7","PAIEMENT_CARTE_CREDIT","271","239","3"
"20","2020-01-04 20:12:34.234","Port Georgiannbury","238.36","PAIEMENT_CARTE_CREDIT","486","414","5"
"21","2020-03-27 06:51:27.709","Sipesview","547.23","RETRAIT","211","111","2"
